"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"192576","AT 2025adie","12:21:35.032","+56:35:10.58","","","","","ZTF, WFST","ZTF, WFST","","WFST, ZTF","ZTF25aceemla","P48 - ZTF-Cam, WFST - WFST-WFC","","1","1","","21.4795","g-ZTF","2025-11-13 11:12:59.999","ZTF_MMA_bot","","","2025TNSTR4582....1A","","",""
"192575","AT 2025adid","12:43:14.686","+57:19:44.04","","","","","ZTF","ZTF","","ZTF","ZTF25aceelgz","P48 - ZTF-Cam","","1","1","","21.1182","g-ZTF","2025-11-13 11:12:59.999","ZTF_MMA_bot","","","2025TNSTR4582....1A","","",""
"192574","AT 2025adic","11:18:10.677","+41:05:41.19","","","","","ZTF, WFST","ZTF, WFST","","WFST, ZTF","ZTF25aceelbm","P48 - ZTF-Cam, WFST - WFST-WFC","","1","1","","21.5507","r-ZTF","2025-11-13 11:04:57.999","ZTF_MMA_bot","","","2025TNSTR4582....1A","","",""
"192573","AT 2025adib","11:16:18.429","+39:51:48.37","","","","","ZTF","ZTF","","ZTF","ZTF25aceekzz","P48 - ZTF-Cam","","1","1","","20.9435","r-ZTF","2025-11-13 11:04:57.999","ZTF_MMA_bot","","","2025TNSTR4582....1A","","",""
"192572","AT 2025adia","11:18:16.561","+35:59:08.98","","","","","ZTF, WFST","ZTF, WFST","","WFST, ZTF","ZTF25aceempu","P48 - ZTF-Cam, WFST - WFST-WFC","","1","1","","21.6012","r-ZTF","2025-11-13 11:46:52.999","ZTF_MMA_bot","","","2025TNSTR4582....1A","","",""
"192571","AT 2025adhz","12:19:39.929","+57:10:04.00","","","","","ZTF","ZTF","","ZTF","ZTF25aceelmh","P48 - ZTF-Cam","","1","1","","21.6076","g-ZTF","2025-11-13 11:12:59.999","ZTF_MMA_bot","","","2025TNSTR4582....1A","","",""
"192570","AT 2025adhy","22:38:20.112","-00:57:16.11","","","","","ATLAS, GOTO, LAST, Pan-STARRS","ATLAS, GOTO, LAST, Pan-STARRS","","ATLAS, GOTO, LAST, Pan-STARRS","ATLAS25ofr","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, LAST - LAST-Cam, PS1 - GPC1","","1","1","","19.53","orange-ATLAS","2025-11-13 00:23:23.136","ATLAS_Bot1","","","2025TNSTR4570....1T","","",""
"192569","AT 2025adhx","02:39:37.992","+18:02:58.56","","","PGC 213063","0.0498","SNHunt","CRTS","","CRTS, SNHunt","","Other - Other","","1","1","","21.1","V-crts-CRTS","2025-10-18 10:04:27.000","Andrew Drake","","","2025TNSTR4561....1M","","",""
"192568","AT 2025adhw","03:16:44.260","+07:10:22.60","","","","","MASTER","MASTER","","MASTER","MASTER OT J031644.26+071022.6","Other - Other","","1","1","","15.6","Other-","2025-11-13 19:03:46.656","MASTER","","","2025TNSTR4558....1A","","",""
"192567","AT 2025adhv","03:58:28.570","+07:42:30.90","","","","","MASTER","MASTER","","MASTER","MASTER OT J035828.57+074230.9","Other - Other","","1","1","","18.1","Other-","2025-11-13 19:29:52.224","MASTER","","","2025TNSTR4557....1A","","",""
